,Brand_name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice_classification,Owner
62,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4101997120000,KIPO (Korea (Republic of)),"41, 44, 41",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
63,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001127390000,KIPO (Korea (Republic of)),"17, 24, 26",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
64,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001171090000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
65,BMW,,National Trademark Registration,Korea (Republic of),Expired,,4001153060000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
66,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001140230000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
67,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001141320000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
68,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001407650000,KIPO (Korea (Republic of)),"9, 7, 12",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
69,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001147940000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
70,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001162650000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
71,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001147950000,KIPO (Korea (Republic of)),"21, 20, 9, 16",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
72,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4102149970000,KIPO (Korea (Republic of)),43,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
73,BMW,,National Trademark Registration,Israel,Registered,,290231,ILPO (Israel),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
74,BMW,,National Trademark Registration,Japan,Registered,,1722710,JPO (Japan),"3, 4, 9, 11, 12, 14, 16, 18, 21, 25, 28, 34, 35, 36, 37, 38, 39, 41, 42",
75,BMW,,National Trademark Registration,Japan,Registered,,2007-360201,JPO (Japan),,
76,BMW,,National Trademark Registration,Japan,Registered,,2246136,JPO (Japan),"9, 10, 17, 20, 24, 25",バイエリシエ モト-レンウエルケ アクチエン ゲゼルシヤフト
77,BMW,,National Trademark Registration,Japan,Registered,,1627736,JPO (Japan),"9, 25, 28, 24",バイエリシエ モト-レンウエルケ アクチエンゲゼルシヤフト
78,BMW,,National Trademark Registration,Jordan,Registered,,24284,IPPD (Jordan),12,بايريتش موتورن ورك اكتنجزلشافت بي ام دبليو (Germany)
79,BMW,,National Trademark Registration,Madagascar,Registered,,M851,DoRG (Madagascar),"7, 12, 37",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
80,BMW,,National Trademark Registration,Malawi,Registered,,1987/000176,COSOMA (Malawi),7,Bayerische Motoren Werke Aktiengesellschaft (Germany)
81,BMW,,National Trademark ,Morocco,Unknown,,30231,OMPIC (Morocco),"12, 25, 28, 9",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
82,BMW,,National Trademark Application,Mexico,Ended,,0119851740801,IMPI (Mexico),7,"VENKRYL, S. DE R.L. DE C.V. (Mexico)"
83,BMW,,National Trademark Registration,Mongolia,Registered,,M-1320641,IPOM (Mongolia),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
84,BMW,,National Trademark Registration,Mexico,Registered,,1285033,IMPI (Mexico),30,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
85,BMW,,National Trademark Registration,Japan,Registered,,1991958,JPO (Japan),12,バイエリシエ モト-レンウエルケ アクチエンゲゼルシヤフト
86,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),1,
87,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),6,
88,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),15,
89,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),29,
90,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),34,
